"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка соответствия названия и цены товара после добавления в корзину","5562","testProductDetailsInCart","Surefire suite","2026-06-10","broken","2026-06-10","tests.CartTest","Surefire test","tests.CartTest","testProductDetailsInCart"
"","511","testValidLoginGoesToProductsPage","Surefire suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Surefire test","tests.LoginTest","testValidLoginGoesToProductsPage"
"","486","testInvalidCredentialsTriggerError","Surefire suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Surefire test","tests.LoginTest","testInvalidCredentialsTriggerError"
"","6910","checkLocators","Surefire suite","2026-06-10","broken","2026-06-10","tests.LocatorsTest","Surefire test","tests.LocatorsTest","checkLocators"
"Проверка логина с невалидным имененм юзера и валидным паролем","546","testEmptyUsernameTriggersError","Surefire suite","2026-06-10","failed","2026-06-10","tests.LoginTest","Surefire test","tests.LoginTest","testEmptyUsernameTriggersError"
"","476","testEmptyPasswordTriggersError","Surefire suite","2026-06-10","passed","2026-06-10","tests.LoginTest","Surefire test","tests.LoginTest","testEmptyPasswordTriggersError"
"","5736","testRemoveProductFromCart","Surefire suite","2026-06-10","passed","2026-06-10","tests.CartTest","Surefire test","tests.CartTest","testRemoveProductFromCart"
